timestamp,ax,ay,az
0.74,-0.536,-0.514,-0.309
0.745,-0.588,-0.594,-0.44
0.75,-0.526,-0.501,-0.343
0.755,-0.636,-0.556,-0.324
0.76,-0.59,-0.621,-0.384
0.765,-0.703,-0.623,-0.324
0.77,-0.691,-0.668,-0.359
0.775,-0.721,-0.564,-0.283
0.78,-0.775,-0.612,-0.38
0.785,-0.78,-0.565,-0.217
0.79,-0.819,-0.562,-0.25
0.795,-0.829,-0.555,-0.256
0.8,-0.77,-0.513,-0.2
0.805,-0.747,-0.475,-0.154
0.81,-0.741,-0.426,-0.161
0.815,-0.865,-0.41,-0.144
0.82,-0.755,-0.428,-0.114
0.825,-0.687,-0.357,-0.092
0.83,-0.803,-0.379,-0.093
0.835,-0.773,-0.267,0.02
0.84,-0.663,-0.407,-0.047
0.845,-0.718,-0.241,-0.018
0.85,-0.644,-0.239,0.033
0.855,-0.649,-0.149,0.099
0.86,-0.619,-0.125,0.023
0.865,-0.606,-0.07,0.162
0.87,-0.466,-0.074,0.115
0.875,-0.468,-0.026,0.168
0.88,-0.372,-0.007,0.232
0.885,-0.376,0.052,0.286
0.89,-0.136,0.096,0.257
0.895,-0.278,0.14,0.285
0.9,-0.284,0.202,0.23
0.905,-0.076,0.227,0.317
0.91,-0.027,0.262,0.319
0.915,0.012,0.264,0.352
0.92,-0.036,0.349,0.365
0.925,0.004,0.351,0.375
0.93,0.136,0.378,0.412
0.935,0.245,0.401,0.369
0.94,0.272,0.488,0.436
0.945,0.254,0.533,0.344
0.95,0.302,0.427,0.344
0.955,0.359,0.485,0.474
0.96,0.407,0.514,0.427
0.965,0.558,0.56,0.448
0.97,0.555,0.544,0.375
0.975,0.557,0.552,0.43
0.98,0.518,0.594,0.364
0.985,0.613,0.739,0.357
0.99,0.669,0.732,0.369
0.995,0.641,0.587,0.32
1.0,0.72,0.588,0.351
1.005,0.668,0.522,0.336
1.01,0.772,0.558,0.311
1.015,0.718,0.612,0.295
1.02,0.778,0.597,0.264
1.025,0.793,0.487,0.273
1.03,0.943,0.539,0.252
1.035,0.846,0.522,0.234
1.04,0.864,0.437,0.237
1.045,0.848,0.525,0.096
1.05,0.89,0.392,0.082
1.055,0.741,0.403,0.114
1.06,0.769,0.375,0.05
1.065,0.616,0.326,-0.001
1.07,0.665,0.34,-0.017
1.075,0.679,0.22,-0.061
1.08,0.655,0.167,-0.07
1.085,0.594,0.28,-0.026
1.09,0.613,0.2,-0.12
1.095,0.512,0.077,-0.045
1.1,0.531,0.078,-0.171
1.105,0.426,0.015,-0.224
1.11,0.356,-0.035,-0.211
1.115,0.303,-0.007,-0.298
1.12,0.34,-0.12,-0.235
1.125,0.211,-0.095,-0.219
1.13,0.288,-0.13,-0.39
1.135,0.1,-0.254,-0.255
1.14,0.065,-0.18,-0.326
1.145,0.049,-0.274,-0.267
1.15,-0.045,-0.284,-0.403
1.155,-0.094,-0.347,-0.328
1.16,-0.075,-0.349,-0.335
1.165,-0.19,-0.353,-0.378
1.17,-0.261,-0.462,-0.347
1.175,-0.231,-0.411,-0.353
1.18,-0.378,-0.501,-0.442
1.185,-0.393,-0.506,-0.44
1.19,-0.461,-0.496,-0.357
1.195,-0.467,-0.51,-0.379
1.2,-0.451,-0.618,-0.471
1.205,-0.504,-0.53,-0.332
1.21,-0.591,-0.536,-0.351
1.215,-0.687,-0.626,-0.301
1.22,-0.585,-0.564,-0.375
1.225,-0.657,-0.585,-0.367
1.23,-0.758,-0.583,-0.318
1.235,-0.686,-0.543,-0.343
1.24,-0.766,-0.631,-0.224
1.245,-0.834,-0.559,-0.313
1.25,-0.79,-0.618,-0.25
1.255,-0.804,-0.53,-0.287
1.26,-0.85,-0.568,-0.22
1.265,-0.746,-0.49,-0.219
1.27,-0.746,-0.445,-0.098
1.275,-0.741,-0.454,-0.173
1.28,-0.81,-0.442,-0.19
1.285,-0.69,-0.418,-0.111
1.29,-0.632,-0.348,-0.054
1.295,-0.665,-0.311,-0.048
1.3,-0.703,-0.289,-0.071
1.305,-0.608,-0.365,0.069
1.31,-0.614,-0.286,0.17
1.315,-0.556,-0.171,0.066
1.32,-0.593,-0.178,0.083
1.325,-0.524,-0.079,0.125
1.33,-0.407,-0.001,0.175
1.335,-0.382,-0.072,0.158
1.34,-0.31,0.09,0.15
1.345,-0.283,0.065,0.24
1.35,-0.26,0.153,0.246
1.355,-0.297,0.124,0.353
1.36,-0.145,0.167,0.325
1.365,-0.152,0.232,0.282
1.37,-0.131,0.19,0.254
1.375,-0.002,0.277,0.382
1.38,-0.009,0.431,0.376
1.385,0.111,0.375,0.405
1.39,0.155,0.391,0.277
1.395,0.201,0.463,0.429
1.4,0.298,0.403,0.402
1.405,0.353,0.459,0.375
1.41,0.462,0.517,0.449
1.415,0.368,0.551,0.463
1.42,0.443,0.576,0.389
1.425,0.491,0.609,0.407
1.43,0.529,0.521,0.463
1.435,0.579,0.583,0.279
1.44,0.587,0.541,0.412
1.445,0.636,0.629,0.462
1.45,0.702,0.6,0.373
1.455,0.658,0.622,0.273
1.46,0.694,0.586,0.36
1.465,0.778,0.651,0.39
1.47,0.794,0.527,0.254
1.475,0.849,0.54,0.258
1.48,0.769,0.504,0.219
1.485,0.781,0.556,0.294
1.49,0.886,0.626,0.174
1.495,0.743,0.573,0.13
1.5,0.88,0.458,0.154
1.505,0.802,0.479,0.144
1.51,0.767,0.461,0.103
1.515,0.802,0.353,0.086
1.52,0.701,0.385,0.02
1.525,0.737,0.311,-0.004
1.53,0.676,0.259,-0.084
1.535,0.617,0.283,-0.062
1.54,0.501,0.162,-0.027
1.545,0.69,0.272,0.058
1.55,0.538,0.164,-0.136
1.555,0.438,0.08,-0.151
1.56,0.473,0.026,-0.19
1.565,0.384,0.053,-0.256
1.57,0.371,0.047,-0.244
1.575,0.322,-0.051,-0.198
1.58,0.295,-0.172,-0.259
1.585,0.195,-0.094,-0.296
1.59,0.216,-0.295,-0.415
1.595,0.103,-0.227,-0.305
1.6,-0.111,-0.184,-0.333
1.605,-0.029,-0.346,-0.365
1.61,-0.065,-0.281,-0.379
1.615,-0.11,-0.32,-0.295
1.62,-0.09,-0.361,-0.383
1.625,-0.212,-0.42,-0.335
1.63,-0.371,-0.485,-0.386
1.635,-0.234,-0.396,-0.423
1.64,-0.427,-0.573,-0.352
1.645,-0.35,-0.526,-0.24
1.65,-0.509,-0.56,-0.335
1.655,-0.423,-0.502,-0.407
1.66,-0.515,-0.566,-0.438
1.665,-0.602,-0.615,-0.409
1.67,-0.698,-0.623,-0.408
1.675,-0.632,-0.571,-0.384
1.68,-0.67,-0.512,-0.333
1.685,-0.582,-0.583,-0.386
1.69,-0.696,-0.501,-0.333
1.695,-0.755,-0.569,-0.241
1.7,-0.792,-0.524,-0.377
1.705,-0.843,-0.649,-0.234
1.71,-0.801,-0.505,-0.272
1.715,-0.71,-0.48,-0.284
1.72,-0.808,-0.479,-0.181
1.725,-0.837,-0.485,-0.145
1.73,-0.809,-0.485,-0.132
1.735,-0.876,-0.457,-0.183
1.74,-0.822,-0.445,-0.07
1.745,-0.814,-0.461,-0.083
1.75,-0.794,-0.392,-0.016
1.755,-0.67,-0.207,0.01
1.76,-0.702,-0.281,0.069
1.765,-0.634,-0.223,0.023
1.77,-0.643,-0.26,0.121
1.775,-0.438,-0.143,0.065
1.78,-0.548,-0.085,0.115
1.785,-0.597,-0.09,0.092
1.79,-0.362,-0.117,0.19
1.795,-0.358,0.001,0.209
1.8,-0.363,0.026,0.2
1.805,-0.25,0.042,0.378
1.81,-0.2,0.065,0.33
1.815,-0.295,0.205,0.295
1.82,-0.199,0.271,0.294
1.825,-0.123,0.233,0.257
1.83,-0.104,0.211,0.309
1.835,0.019,0.327,0.347
1.84,0.035,0.34,0.348
1.845,0.039,0.386,0.361
1.85,0.152,0.371,0.369
1.855,0.247,0.364,0.444
1.86,0.358,0.578,0.422
1.865,0.281,0.531,0.448
1.87,0.38,0.368,0.429
1.875,0.463,0.565,0.367
1.88,0.447,0.505,0.429
1.885,0.482,0.521,0.487
1.89,0.632,0.632,0.394
1.895,0.581,0.615,0.406
1.9,0.632,0.711,0.357
1.905,0.718,0.557,0.388
1.91,0.672,0.626,0.265
1.915,0.747,0.615,0.288
1.92,0.695,0.606,0.329
1.925,0.76,0.572,0.259
1.93,0.826,0.567,0.235
1.935,0.803,0.587,0.263
1.94,0.767,0.633,0.227
1.945,0.778,0.494,0.074
1.95,0.818,0.56,0.164
1.955,0.789,0.53,0.132
1.96,0.763,0.371,0.201
1.965,0.76,0.447,0.05
1.97,0.862,0.441,0.076
1.975,0.881,0.388,0.03
1.98,0.803,0.423,0.024
1.985,0.797,0.288,-0.042
1.99,0.637,0.236,0.016
1.995,0.726,0.282,0.03
2.0,0.551,0.332,-0.11
2.005,0.577,0.146,-0.086
2.01,0.584,0.112,-0.08
2.015,0.462,0.121,-0.171
2.02,0.356,-0.067,-0.193
2.025,0.418,0.025,-0.22
2.03,0.367,0.013,-0.214
2.035,0.3,-0.095,-0.207
2.04,0.186,-0.117,-0.202
2.045,0.135,-0.171,-0.3
2.05,0.158,-0.155,-0.292
2.055,0.058,-0.285,-0.258
2.06,0.078,-0.339,-0.345
2.065,0.021,-0.32,-0.262
2.07,-0.068,-0.36,-0.265
2.075,-0.153,-0.352,-0.404
2.08,-0.258,-0.34,-0.412
2.085,-0.196,-0.473,-0.377
2.09,-0.176,-0.433,-0.379
2.095,-0.312,-0.454,-0.409
2.1,-0.401,-0.441,-0.436
2.105,-0.367,-0.517,-0.404
2.11,-0.381,-0.705,-0.34
2.115,-0.441,-0.687,-0.36
2.12,-0.482,-0.534,-0.329
2.125,-0.672,-0.522,-0.387
2.13,-0.647,-0.586,-0.478
2.135,-0.684,-0.607,-0.354
2.14,-0.718,-0.612,-0.29
2.145,-0.622,-0.541,-0.325
2.15,-0.778,-0.542,-0.334
2.155,-0.805,-0.56,-0.319
2.16,-0.744,-0.618,-0.248
2.165,-0.758,-0.598,-0.229
2.17,-0.883,-0.475,-0.253
2.175,-0.778,-0.519,-0.186
2.18,-0.755,-0.577,-0.18
2.185,-0.915,-0.569,-0.227
2.19,-0.827,-0.396,-0.137
2.195,-0.864,-0.32,-0.217
2.2,-0.815,-0.389,-0.092
2.205,-0.785,-0.402,-0.062
2.21,-0.725,-0.326,-0.059
2.215,-0.786,-0.308,-0.011
2.22,-0.631,-0.287,-0.083
2.225,-0.609,-0.201,0.031
2.23,-0.558,-0.198,0.069
2.235,-0.559,-0.205,-0.011
2.24,-0.572,-0.147,0.25
2.245,-0.466,-0.121,0.131
2.25,-0.415,-0.024,0.209
2.255,-0.414,-0.005,0.181
2.26,-0.362,0.065,0.281
2.265,-0.277,0.106,0.332
2.27,-0.277,0.212,0.246
2.275,-0.268,0.161,0.42
2.28,-0.182,0.166,0.26
2.285,-0.104,0.251,0.37
2.29,0.024,0.289,0.276
2.295,0.071,0.209,0.365
2.3,0.104,0.322,0.448
2.305,0.123,0.338,0.334
2.31,0.035,0.372,0.358
2.315,0.257,0.467,0.393
2.32,0.321,0.424,0.38
2.325,0.281,0.423,0.338
2.33,0.399,0.548,0.32
2.335,0.469,0.487,0.494
2.34,0.437,0.462,0.39
2.345,0.537,0.653,0.381
2.35,0.535,0.659,0.332
2.355,0.535,0.584,0.469
2.36,0.65,0.587,0.378
2.365,0.601,0.63,0.428
2.37,0.745,0.61,0.312
2.375,0.71,0.596,0.383
2.38,0.671,0.668,0.34
2.385,0.756,0.593,0.301
2.39,0.763,0.476,0.266
2.395,0.751,0.565,0.253
2.4,0.774,0.532,0.151
2.405,0.812,0.615,0.205
2.41,0.676,0.528,0.223
2.415,0.849,0.52,0.222
2.42,0.818,0.485,0.17
2.425,0.794,0.556,0.153
2.43,0.724,0.509,0.076
2.435,0.725,0.4,0.029
2.44,0.848,0.354,0.101
2.445,0.575,0.274,-0.003
2.45,0.67,0.298,-0.045
2.455,0.696,0.329,-0.119
2.46,0.53,0.257,-0.105
2.465,0.662,0.161,-0.106
2.47,0.529,0.137,-0.104
2.475,0.525,0.06,-0.134
2.48,0.409,0.079,-0.128
2.485,0.423,-0.018,-0.26
2.49,0.314,-0.029,-0.256
2.495,0.275,-0.16,-0.309
2.5,0.26,-0.07,-0.419
2.505,0.201,-0.117,-0.256
2.51,0.1,-0.162,-0.29
2.515,0.162,-0.272,-0.333
2.52,0.057,-0.252,-0.344
2.525,0.011,-0.256,-0.332
2.53,-0.039,-0.467,-0.386
2.535,-0.161,-0.389,-0.458
2.54,-0.174,-0.431,-0.361
2.545,-0.31,-0.466,-0.381
2.55,-0.346,-0.513,-0.307
2.555,-0.342,-0.504,-0.358
2.56,-0.304,-0.523,-0.524
2.565,-0.436,-0.522,-0.417
2.57,-0.439,-0.494,-0.398
2.575,-0.575,-0.494,-0.368
2.58,-0.572,-0.571,-0.336
2.585,-0.623,-0.646,-0.352
2.59,-0.601,-0.569,-0.357
2.595,-0.68,-0.51,-0.37
2.6,-0.7,-0.504,-0.355
2.605,-0.726,-0.582,-0.397
2.61,-0.706,-0.596,-0.315
2.615,-0.733,-0.531,-0.317
2.62,-0.834,-0.598,-0.267
2.625,-0.734,-0.5,-0.24
2.63,-0.798,-0.538,-0.279
2.635,-0.9,-0.441,-0.119
2.64,-0.745,-0.566,-0.197
2.645,-0.744,-0.465,-0.291
2.65,-0.855,-0.473,-0.115
2.655,-0.865,-0.44,-0.137
2.66,-0.801,-0.431,-0.15
2.665,-0.757,-0.41,-0.081
2.67,-0.635,-0.345,-0.01
2.675,-0.671,-0.316,0.043
2.68,-0.625,-0.342,0.014
2.685,-0.625,-0.226,0.071
2.69,-0.636,-0.187,0.113
2.695,-0.559,-0.148,0.111
2.7,-0.45,-0.109,0.136
2.705,-0.543,-0.151,0.217
2.71,-0.483,-0.025,0.201
2.715,-0.405,0.012,0.188
2.72,-0.354,0.01,0.199
2.725,-0.224,-0.001,0.224
2.73,-0.196,0.169,0.332
2.735,-0.126,0.191,0.285
2.74,-0.106,0.221,0.313
2.745,-0.068,0.265,0.366
2.75,-0.063,0.293,0.381
2.755,0.051,0.347,0.311
2.76,0.18,0.382,0.417
2.765,0.157,0.383,0.274
2.77,0.248,0.367,0.382
2.775,0.236,0.386,0.477
2.78,0.337,0.511,0.367
2.785,0.355,0.627,0.445
2.79,0.375,0.519,0.324
2.795,0.412,0.529,0.397
2.8,0.513,0.574,0.357
2.805,0.561,0.685,0.476
2.81,0.571,0.54,0.4
2.815,0.612,0.646,0.264
2.82,0.59,0.607,0.394
2.825,0.522,0.505,0.34
2.83,0.719,0.627,0.432
2.835,0.689,0.644,0.32
2.84,0.734,0.496,0.318
2.845,0.849,0.584,0.326
2.85,0.794,0.47,0.193
2.855,0.807,0.566,0.257
2.86,0.79,0.519,0.258
2.865,0.744,0.606,0.163
2.87,0.833,0.443,0.125
2.875,0.742,0.518,0.17
2.88,0.82,0.451,0.088
2.885,0.863,0.541,0.175
2.89,0.747,0.352,0.042
2.895,0.827,0.418,0.074
2.9,0.739,0.289,-0.037
2.905,0.659,0.217,0.023
2.91,0.665,0.275,-0.134
2.915,0.726,0.285,-0.021
2.92,0.538,0.191,-0.089
2.925,0.596,0.221,-0.09
2.93,0.549,0.103,-0.087
2.935,0.544,0.076,-0.131
2.94,0.477,0.026,-0.142
2.945,0.349,0.021,-0.242
2.95,0.361,0.015,-0.312
2.955,0.373,-0.18,-0.231
2.96,0.222,-0.095,-0.302
2.965,0.18,-0.246,-0.239
2.97,0.147,-0.202,-0.236
2.975,0.118,-0.238,-0.287
2.98,0.093,-0.342,-0.366
2.985,-0.044,-0.263,-0.335
2.99,-0.107,-0.283,-0.384
2.995,-0.074,-0.445,-0.424
3.0,-0.191,-0.453,-0.352
3.005,-0.243,-0.389,-0.46
3.01,-0.334,-0.466,-0.384
3.015,-0.376,-0.524,-0.381
3.02,-0.433,-0.432,-0.402
3.025,-0.385,-0.493,-0.427
3.03,-0.386,-0.47,-0.394
3.035,-0.595,-0.531,-0.422
3.04,-0.609,-0.578,-0.341
3.045,-0.633,-0.705,-0.368
3.05,-0.677,-0.603,-0.283
3.055,-0.759,-0.54,-0.377
3.06,-0.629,-0.605,-0.284
3.065,-0.677,-0.639,-0.312
3.07,-0.792,-0.663,-0.323
3.075,-0.757,-0.598,-0.216
3.08,-0.774,-0.616,-0.257
3.085,-0.847,-0.632,-0.194
3.09,-0.732,-0.522,-0.259
3.095,-0.835,-0.507,-0.131
3.1,-0.766,-0.521,-0.039
3.105,-0.894,-0.441,-0.19
3.11,-0.816,-0.503,-0.154
3.115,-0.841,-0.362,-0.18
3.12,-0.864,-0.387,-0.139
3.125,-0.663,-0.366,-0.004
3.13,-0.725,-0.276,-0.041
3.135,-0.683,-0.25,0.018
3.14,-0.775,-0.306,0.089
3.145,-0.591,-0.19,0.109
3.15,-0.532,-0.07,0.111
3.155,-0.566,-0.151,0.119
3.16,-0.504,-0.082,0.085
3.165,-0.493,-0.014,0.118
3.17,-0.448,-0.033,0.182
3.175,-0.427,-0.011,0.259
3.18,-0.33,0.028,0.212
3.185,-0.209,0.124,0.194
3.19,-0.314,0.17,0.172
3.195,-0.141,0.144,0.376
3.2,-0.12,0.273,0.368
3.205,-0.041,0.248,0.294
3.21,-0.148,0.193,0.351
3.215,0.046,0.338,0.322
3.22,0.164,0.463,0.276
3.225,0.222,0.367,0.417
3.23,0.227,0.411,0.343
3.235,0.29,0.474,0.325
3.24,0.312,0.487,0.454
3.245,0.371,0.521,0.311
3.25,0.459,0.443,0.39
3.255,0.502,0.517,0.463
3.26,0.432,0.583,0.425
3.265,0.569,0.521,0.364
3.27,0.607,0.541,0.361
3.275,0.627,0.595,0.344
3.28,0.59,0.563,0.388
3.285,0.719,0.667,0.402
3.29,0.774,0.546,0.276
3.295,0.775,0.627,0.341
3.3,0.729,0.607,0.313
3.305,0.734,0.564,0.265
3.31,0.795,0.595,0.26
3.315,0.693,0.567,0.244
3.32,0.722,0.536,0.215
3.325,0.797,0.421,0.253
3.33,0.791,0.574,0.167
3.335,0.889,0.595,0.125
3.34,0.801,0.353,0.139
3.345,0.707,0.366,0.128
3.35,0.772,0.302,0.084
3.355,0.747,0.432,-0.014
3.36,0.675,0.367,0.007
3.365,0.61,0.375,-0.023
3.37,0.557,0.252,-0.081
3.375,0.569,0.243,-0.19
3.38,0.622,0.188,-0.163
3.385,0.511,0.211,-0.109
3.39,0.499,0.104,-0.131
3.395,0.535,0.088,-0.243
3.4,0.356,0.022,-0.111
3.405,0.328,-0.027,-0.276
3.41,0.306,-0.041,-0.278
3.415,0.215,-0.134,-0.237
3.42,0.235,-0.169,-0.317
3.425,0.131,-0.219,-0.337
3.43,0.107,-0.177,-0.322
3.435,0.106,-0.141,-0.295
3.44,0.041,-0.316,-0.443
3.445,-0.086,-0.312,-0.393
3.45,-0.186,-0.297,-0.426
3.455,-0.156,-0.499,-0.371
3.46,-0.209,-0.426,-0.421
3.465,-0.269,-0.429,-0.435
3.47,-0.338,-0.616,-0.463
3.475,-0.386,-0.422,-0.378
3.48,-0.376,-0.573,-0.445
3.485,-0.483,-0.565,-0.484
3.49,-0.482,-0.517,-0.324
3.495,-0.428,-0.532,-0.439
3.5,-0.584,-0.601,-0.389
3.505,-0.613,-0.584,-0.361
3.51,-0.65,-0.572,-0.413
3.515,-0.696,-0.606,-0.302
3.52,-0.727,-0.637,-0.412
3.525,-0.809,-0.559,-0.281
3.53,-0.824,-0.57,-0.362
3.535,-0.699,-0.639,-0.347
3.54,-0.887,-0.577,-0.299
3.545,-0.785,-0.507,-0.213
3.55,-0.701,-0.445,-0.236
3.555,-0.816,-0.462,-0.19
3.56,-0.85,-0.584,-0.176
3.565,-0.828,-0.493,-0.159
3.57,-0.815,-0.451,-0.059
3.575,-0.845,-0.353,-0.033
3.58,-0.793,-0.307,-0.082
3.585,-0.739,-0.389,-0.06
3.59,-0.635,-0.318,-0.031
3.595,-0.559,-0.243,-0.012
3.6,-0.612,-0.303,0.13
3.605,-0.68,-0.278,0.072
3.61,-0.623,-0.146,0.17
3.615,-0.551,-0.152,0.142
3.62,-0.506,-0.116,0.12
3.625,-0.388,-0.068,0.188
3.63,-0.355,0.025,0.229
3.635,-0.297,0.062,0.175
3.64,-0.326,0.034,0.263
3.645,-0.242,0.143,0.253
3.65,-0.213,0.267,0.213
3.655,-0.13,0.194,0.293
3.66,-0.086,0.196,0.349
3.665,-0.07,0.195,0.345
3.67,-0.087,0.347,0.316
3.675,-0.028,0.262,0.393
3.68,0.148,0.367,0.436
3.685,0.161,0.396,0.368
3.69,0.246,0.43,0.354
3.695,0.167,0.463,0.392
3.7,0.207,0.463,0.467
3.705,0.411,0.443,0.415
3.71,0.491,0.469,0.497
3.715,0.448,0.571,0.425
3.72,0.563,0.566,0.438
3.725,0.502,0.636,0.479
3.73,0.592,0.603,0.309
3.735,0.652,0.602,0.411
3.74,0.586,0.61,0.301
3.745,0.722,0.732,0.363
3.75,0.735,0.526,0.416
3.755,0.746,0.614,0.341
3.76,0.778,0.567,0.31
3.765,0.9,0.552,0.259
3.77,0.835,0.544,0.207
3.775,0.778,0.622,0.242
3.78,0.699,0.594,0.236
3.785,0.763,0.533,0.239
3.79,0.767,0.492,0.187
3.795,0.777,0.555,0.046
3.8,0.79,0.402,0.109
3.805,0.784,0.419,0.014
3.81,0.748,0.386,0.145
3.815,0.703,0.428,0.014
3.82,0.693,0.266,0.098
3.825,0.726,0.281,-0.075
3.83,0.648,0.186,0.02
3.835,0.623,0.104,-0.008
3.84,0.573,0.213,-0.056
3.845,0.528,0.101,-0.129
3.85,0.461,0.093,-0.192
3.855,0.403,0.037,-0.086
3.86,0.4,-0.047,-0.176
3.865,0.395,0.056,-0.268
3.87,0.419,-0.141,-0.289
3.875,0.312,-0.191,-0.284
3.88,0.24,-0.172,-0.282
3.885,0.156,-0.198,-0.213
3.89,0.031,-0.28,-0.267
3.895,0.073,-0.261,-0.402
3.9,0.087,-0.263,-0.246
3.905,-0.018,-0.291,-0.487
3.91,-0.109,-0.352,-0.38
3.915,-0.195,-0.39,-0.325
3.92,-0.138,-0.456,-0.423
3.925,-0.284,-0.548,-0.41
3.93,-0.37,-0.446,-0.425
3.935,-0.345,-0.577,-0.396
3.94,-0.493,-0.465,-0.274
3.945,-0.553,-0.473,-0.419
3.95,-0.507,-0.514,-0.431
3.955,-0.559,-0.603,-0.392
3.96,-0.623,-0.65,-0.386
3.965,-0.615,-0.611,-0.427
3.97,-0.598,-0.557,-0.375
3.975,-0.627,-0.61,-0.394
3.98,-0.66,-0.51,-0.397
3.985,-0.709,-0.575,-0.323
3.99,-0.79,-0.614,-0.273
